Degree Level,Nationality,Gender,Year Quarter,Salary,Currency
Bachelor,Saudi,Female,2017 Q1,10180,SAR
Bachelor,Saudi,Male,2017 Q1,13023,SAR
Bachelor,NonSaudi,Female,2017 Q2,6321,SAR
Bachelor,NonSaudi,Male,2017 Q2,7868,SAR
Bachelor,Saudi,Female,2017 Q2,10072,SAR
Bachelor,Saudi,Male,2017 Q2,12902,SAR
Bachelor,NonSaudi,Female,2017 Q3,6988,SAR
Bachelor,NonSaudi,Male,2017 Q3,7851,SAR
Bachelor,Saudi,Female,2017 Q3,10406,SAR
Bachelor,Saudi,Male,2017 Q3,13041,SAR
Bachelor,NonSaudi,Female,2017 Q4,6683,SAR
Bachelor,NonSaudi,Male,2017 Q4,7655,SAR
Bachelor,Saudi,Female,2017 Q4,9993,SAR
Bachelor,Saudi,Male,2017 Q4,13142,SAR
Bachelor,NonSaudi,Female,2018 Q1,6525,SAR
Bachelor,NonSaudi,Male,2018 Q1,7732,SAR
Bachelor,Saudi,Female,2018 Q1,10035,SAR
Bachelor,Saudi,Male,2018 Q1,13448,SAR
Bachelor,NonSaudi,Female,2018 Q2,6420,SAR
Bachelor,NonSaudi,Male,2018 Q2,8270,SAR
Bachelor,Saudi,Female,2018 Q2,10256,SAR
Bachelor,Saudi,Male,2018 Q2,13147,SAR
Bachelor,NonSaudi,Female,2018 Q3,7751,SAR
Bachelor,NonSaudi,Male,2018 Q3,8254,SAR
Bachelor,Saudi,Female,2018 Q3,10629,SAR
Bachelor,Saudi,Male,2018 Q3,13181,SAR
Bachelor,NonSaudi,Female,2018 Q4,7356,SAR
Bachelor,NonSaudi,Male,2018 Q4,8114,SAR
Bachelor,Saudi,Female,2018 Q4,10179,SAR
Bachelor,Saudi,Male,2018 Q4,12847,SAR
Bachelor,NonSaudi,Female,2019 Q1,6614,SAR
Bachelor,NonSaudi,Male,2019 Q1,8378,SAR
Bachelor,Saudi,Female,2019 Q1,10279,SAR
Bachelor,Saudi,Male,2019 Q1,13075,SAR
Bachelor,NonSaudi,Female,2019 Q2,7511,SAR
Bachelor,NonSaudi,Male,2019 Q2,8882,SAR
Bachelor,Saudi,Female,2019 Q2,10467,SAR
Bachelor,Saudi,Male,2019 Q2,13108,SAR
Bachelor,NonSaudi,Female,2019 Q3,8062,SAR
Bachelor,NonSaudi,Male,2019 Q3,9096,SAR
Bachelor,Saudi,Female,2019 Q3,10476,SAR
Bachelor,Saudi,Male,2019 Q3,13059,SAR
Bachelor,NonSaudi,Female,2019 Q4,7156,SAR
Bachelor,NonSaudi,Male,2019 Q4,8205,SAR
